title,usr_code,review,place,travel_date,rating
Jesus Christ Superster,BonnieNew,Saw this play tonight at the Lyric Opera House. What a wonderful venue - lovely theater with good seating and good acoustics. Quite a remarkable theater.,Lyric Opera of Chicago,May 2018,50
AMTRAK Lake Shore Limited Dining Is a Deal Breaker,Lorie D,"It's my understanding that coach had a different menu of items they could buy...like bagel with cream cheese...which we would have preferred. I can't stress how bad and misguided the meal service was. It's really sad that one of the good things about Amtrak has been totally ruined by corporate types who probably don't even take the train. It's not fun to be on a train where you can't get off and there's nothing to eat. Next time, I'm flying.",Union Station,July 2019,20
Striving to get better,Bozman75,"Amtrak has stepped up their game in the past year. Cleaner,better customer service and more importantly striving to be on time.",Union Station,July 2019,40
Easy to navigate!,crabbyK,"I like the way Union Station is set up! I am not what you'd call an ""experienced traveler"" but I've taken the train to Chicago several times and have never had any problem navigating this station! The people who work here are friendly and helpful and there are lots of good places to eat while you wait for your train!",Union Station,July 2019,50
Union Station-Just as my wife remembered it,799jimt,We caught the empire builder at Union station in July.  My wife had not been there in about 50 years and was amazed that it still looks the same.  great restoration job.  People were friendly and accommodating.,Union Station,July 2019,50
You should go,annemaBirmingham,This will remain as one of the most beautiful train stations I have seen so far. It is very well maintained. Spotless. Marble everywhere. 2 grandiose staircases on each side and a beautiful waiting room with old wooden benches. It is not noisy. I loved it ,Union Station,August 2019,50
Sales Prevention,Nicknurse1,"My wife and I live just several blocks from Macys on State Street and are regular customers. Until today (1-9-19) our experience has been excellent. We stopped at Macy's to buy fine jewelry. We saw signs everywhere on the sales counters and in the display cases indicating a sale was coming and customers could select an item ""Today"" to be paid for when the 50% off sale begins in a couple of days. The problem was the Macy's wasn't really offering the ability to do that for two more days despite their signs. When questioned about it the sales associate said she would check with her manager. The manager said they had forgotten to put a date on the more than 20 ""Today"" signs spread throughout the fine jewelry department. When asked if a date was going to be put on them the answer was no! It seems Macys is more interested in sales prevention than anything else!",Macy's on State Street,January 2019,10
Tiffany ceiling worth seeing,Lavarcham,We came to the Walnut bar on our first evening for a drink. Later we heard about the Tiffany ceiling so came back to look. It is rather lovely and worth popping in to see.,Macy's on State Street,November 2018,30
One of the best in the world!,gregr748,We look for a Macy's in every town we visit.  It's a tradition for us.  This one is beautiful and my wife tells me they have stock that she can't find in our home town.,Macy's on State Street,January 2019,50
Historic Tour,SmilingMimi,"I wouldn't have known about this if I hadn't found it on TripAdvisor, but it was a great 1 hour tour of the historic building and store, with history and views of areas you can't normally see.  We ate prior to our tour in the Oak Dining room and it was lovely.  If you have done all the top attractions in Chicago already, add this to your list.",Macy's on State Street,October 2018,50
"Small, Free & next door to Willis Tower",Heather K,"If you are going to do the Willis Tower, it is totally worth stopping next door to do the Money Museum.  It is small but still very interesting.  My son and nephew enjoyed seeing all the money and getting their bag of shredded money!",Money Museum at the Federal Reserve Bank,June 2019,40
Free and interesting!,Lori L,"This museum was the perfect morning activity before we checked out of the hotel. We experienced walking with the commuters, saw the history of money, and participated in the interactive displays. Perfect for all ages!",Money Museum at the Federal Reserve Bank,July 2019,50
Surprisingly interesting,travelg38,"Right near the Willis Tower Skydeck...as visibility was zero, we wandered around and found this small but informative museum. Learned some history and found the interactive exhibits in good working order and interesting. All the kids I saw seemed to be enjoying themselves too.",Money Museum at the Federal Reserve Bank,July 2019,40
Delightful museum and free Fed shreds!,djbubbletea,"What a delightful museum! It's in the middle the loop and far away from the hustle and bustle from the usual tourist spots. Super interesting for history and money buffs. Take time to read the multitude of displays, otherwise you will miss out on lots of fun and interesting facts. There were also some fun interactive displays, videos and even a photo opportunity! Don't forget to take your packet of Fed shreds! They are tucked away in a display case bin toward the exit. It's $364 worth of shredded money. Security guards were super nice too.",Money Museum at the Federal Reserve Bank,July 2019,50
Educational and Free,lucsimsthomas,"If you're looking for something fun and free in Chicago, this museum is it. There are so many interactive exhibits that educate while also entertaining visitors. It's a wonderful way to learn about this country's money system and its history while also having fun. You can even put your face on a bill and get it emailed to you to keep. The displays are filled with money facts for those who like to linger and read every detail.",Money Museum at the Federal Reserve Bank,July 2019,50
Culture Galore!,Chi-Gal2014,"This building is not only architecturally stunning but also has many interesting historical monuments embedded in the masonry. Walk around the exterior to see pieces of the Great Wall, Pyramids, Notre Dame and many many other monuments. ",Tribune Tower,April 2018,50
Beautiful Old Architecture,greekbecky2016,"I didn't get a chance to go inside the Tribune, but saw it at night while walking to my hotel and its quite grand in scale.  The week I was there, they had the top lite in purple which was really cool.",Tribune Tower,November 2018,50
Bits of the world embedded,djhart2015,"Besides its overall architectural appearance as a unique part of a city with marvelous architecture, this building has bits and pieces from around the world embedded in its side. If it is a sunny day and you have time to scan it, you will find it amusing.",Tribune Tower,November 2018,30
Decent enough building,JXXXR,Located near the river Tribune Tower is decent building that is a typifies Chicago's big city feel. However you can't really go inside and nothing about this stunning. If you are in the area anyway it's worth a glance however this is not a must visit.,Tribune Tower,September 2018,30
