title,travel_date,rating,place,usr_code,review
Wonderful location and great installations,November 2018,40,Perez Art Museum Miami,paudraigmurphy,"We visited in mid-November and it was easy to see everything, two school kids tours, and a lot of overseas visitors but no crushes. The hanging gardens, the model boats, the Christo pink island display and the wonderful “when the dew is still on the roses” all kept us busy. The only down side was the restaurant where getting a cup of coffee and a snack is a nightmarish experience. One other piece of advice to the management is to hook up with the science museum and discount double tickets."
baseball fun!,September 2018,40,Marlins Park,Tropicalmich,what a nice intimate stadium. very good tickets available at great prices. we paid $22 per ticket row 9 1st baseline. drinks were expensive like every sporting event. note not really any bars around stadium.
"Good game, so so food",September 2018,30,Marlins Park,MRVEGAS711,"The Marlins don't draw much of a crowd and I think dining at this park suffers from that. We did enjoy the way over-staffed game with a probable attendance of 6000 (several hundred workers doing nothing). Good sightlines. Concessions was a bust though. My Beer tasted like it came from Aprils Keg and the hot dogs tasted a week old. Pop Corn not much better. It felt like food was used until it was gone. And in the Marlins case, that might take a month!"
NYY @ Tampa Bay,October 2017,50,Marlins Park,claudia B,Love to go to the games NYY/Tampa Bay in St Pete Florida.  We stay at a hotel near the Park and do tourism always.
Take Me Out To The Ballgame,June 2018,50,Marlins Park,HectorR2167,A+++
Boring!  Like an over-rated high school game!,August 2018,10,Marlins Park,thevuzoo,"We’ve visited many many baseball parks around the country. This park is one of the worst in terms of excitement, fan participation and energy. The park looks well maintained but I felt like I was watching a bad high school game. The team and the fans had low energy and no pride. I’m surprised that they had cheerleaders at the game!  I’ve never seen cheerleaders at any baseball game.  But the cheerleaders weren’t good at all - they seemed like second rate performers. This stadium also plays a lot of Latin music.  "
First rate Activity Park,July 2014,50,Flamingo Park,Brendan42,"This park has it all . Central location ,first rate facilities , whether that is to take a swim , play a game of tennis or just study the talent of the many games that America has to offer "
Spectacular Place to Learn while Having FUN!,January 2019,50,Phillip and Patricia Frost Museum of Science,Gaiatribe,"I was blown away with the scope of this Science Museum. At the very start of our day, a movie in the wonderful Planetarium, The Dynamic Earth (one of four movies they offer), we were brought from outer space thru our solar system, to the earth, thru the atmosphere in the rush of a falling meteor to Miami and utlimately to our seats! And that was just the opening.!  I found the entire place to be wonderfully laid out to edu-tain the young and older. We started on the rooftop and worked our way down. The centerpiece is definitely the 6 story tank that affords views on every level of the wonders of our sealife. But equally great were the smaller tanks that represented, coral reefs and the inhabitants as well as other habitats like Mangroves.  There were 'petting' tanks for stingrays, and starfish.  The displays of Jellyfish alone were worth a visit. Birds and gators and all things that fly in the south Fla area were also nicely represented. The DiVinci museum was inspiring. There is an 80 million yr old fish fossil and many other examples of the wonders of this planet.  There were some areas that were not available to view, but even with that, I would allow at least 4 hrs to enjoy this museum."
Montreal Bachelor Party,June 2019,50,Lock & Load Museum,varun013,We ended our bachelor party weekend at the gun range with an amazing experience. This is a must do to all those groups of people celebrating their bachelor party in Miami. Nick took care of the group and did an amazing job explaining the rules and safety protocol. He broke down every gun we were using with history and facts.  He went above and beyond for the bachelor and definitely added the cherry on top for our weekend. Highly recommend him and he's hilarious!
Lunch at Verde Bistro Capped Art  Museum Visit,October 2018,40,Perez Art Museum Miami,VKauf2014,"Christo and Jeanne-Claude: Surrounded Islands is the featured exhibit and presentation at the museum until February 17, 2019. I was impressed with the bistro and had an enjoyable lunch with my sisters who were visiting from out of town."
Beautifully designed,October 2018,30,Perez Art Museum Miami,286klairb,This museum has unique art collections. There is some variety. The buildings architecture and furnishings are beautiful. Not sure if you get a lot of value for the price solely on the exhibits. There are few descriptions of th art itself although good artist biographies. There are also detailed panphlets but too much to read in a visit. I certainly would not benefit from a membership. Small children would not get much out of it although the environment is suitable for kids.  the gift shop has one of the best selections I’ve seen in the area!  To me that’s the most enticing part of the museum.
A very interesting stadium...,September 2018,30,Marlins Park,schmayla98,"Another weird but positive is all the standing room. There is an ample amount and honestly, I wish I would have known this and paid for the cheapest ticket because it offers some of the best views."
Nice ballpark,September 2018,40,Marlins Park,Johnny M,"Cons: No public transit to get to the park, and not many bars/restaurants around; lack of attendance makes it feel empty."
Fantastic Experience,September 2018,50,Marlins Park,EmmaStevenson1983,We made our own way there on the bus but got the shuttle back to the metro on the way home to get back to Miami Beach.
