review,travel_date,place,title,usr_code,rating
"We spent most of one day visiting Graceland, the museum, viewing the planes, and walking around the large grounds. My first time there, the day before our River Cruise started.",October 2019,Graceland,Must visit Graceland when visiting Memphis,Marina B,50
"enjoyable but way overpriced mansion on its own is done in about half and hour or so , more time is spent waiting for shuttles and entrance. We did the elvis experience tour for $54.90 (senior price and about $18 more than just the manion) plenty to see if you like cars,cars and more cars but interesting. Gifts way over priced, tip if you cross the main road next to mansion entrance is a gift shop not official i guess but a lot cheaper. Cant say im a massive elvis fan but he is a vital piece of musical history so not to be missed. But expensive  in my opinion",October 2019,Graceland,Graceland,stephenhY8508YG,40
"A genuin american tourist trap but still nice if you you have time, money and Elvis interest. Add 10USD for parking to the min 46 dollar entry fee.",November 2019,Graceland,Tourist trap - but still nice,johanh1972sweden,30
"My wife has always been a huge Elvis fan from being knee high and this was a pilgrimage that just had to be on her bucket list. Graceland does not disappoint it has so much information, records (both vinyl and paper!!) exhibits, artifacts and Elvis' personnel items for you to see. We spent over six hours at Graceland and the VIP skip the line with plane ticket was well worth the money. ",November 2019,Graceland,Bucket list trip,Y7405PRmichaelm,50
"I was surprised at the basic cost of 41.00 per person which included a video, the mansion tour, cars and personal effects. Parking also cost 10.00. Although interesting, very touristy. The mansion was smaller than expected and the visitors complex was very commercial.",October 2019,Graceland,Basic Graceland tour,Bonnie N,30
"We really enjoyed this museum. Note that the original theater that housed the studio and offices was demolished long ago, but the original theater marquee and building facade were recreated and the interior is a glorious homage to a remarkable story about music, the music business and social history. I knew more than a little about the music, but learned a great deal from our visit. Highly recommended!",April 2019,Stax Museum of American Soul Music,"A little bit outside of the downtown core, but totally worth the visit",rudy646,50
This is a wonderful visit through the history of music.  Wait until you see Isaac Hayes car. A definite must see while visiting Memphis.,July 2018,Stax Museum of American Soul Music,A wonderful view of music history.,Lusion1,40
Rebuilt on the original site of the studio this is a very enjoyable and comprehensive story of Stax records. Lots to see so give yourself a lot of time! Recommended!,April 2019,Stax Museum of American Soul Music,Very cool,frank873,40
We were really looking forward to visiting Stax and it did not disappoint.  Great stories and history.  Kudos to those with the foresight to bring this history back for all to embrace. ,April 2019,Stax Museum of American Soul Music,Soulsville's a Hit,692stephenj,50
This is a wonderful museum with lots of important history on music in the U.S.  Well worth a visit when in Memphis.,March 2019,Stax Museum of American Soul Music,Wonderful museum.,karengF4022FT,40
I'm so thankful that I came here it was so moving. They did not teach me any of this in school. There was a young man who gave an informational tour of sorts.  He was so educated on the Civil Rights movement and black history I was totally enthralled in what he was teaching me. This is just a really amazing place I loved it and thankful for what I learned ,September 2019,National Civil Rights Museum - Lorraine Motel,Touching place,Dreamer792489,50
Great museum. Extremely well done. You do not realize till the end that you are in the Lorraine hotel. Very informative.,October 2019,National Civil Rights Museum - Lorraine Motel,Excellent,mmem7,50
The Civil Rights Museum is absolutely one of the best places I have even been. It is so informative and powerful. From the first room to the end it was laid out perfectly. It is worth it to go and see the history that shaped our country and learn how we can take more steps to improve even more.,October 2019,National Civil Rights Museum - Lorraine Motel,Amazing,Fronk89,50
My wife and I took two trips to the museum on our trip to Memphis. Standing in room 307 looking out over the parking lot and the very spot that MLK lost his life was truly one of the more numbing yet humbling experiences of my life.,October 2019,National Civil Rights Museum - Lorraine Motel,Humbling Experience,Frenchy85,50
"The tour of Graceland is informative for sure.  But my favorite part was going across the street and listening to live music and eating, just soaking up the stores and the enviornment immediately surrounding Graceland.  Not a great part of town though so secure your belongings.",July 2019,Graceland,Love the area,Dawn R,50
"You can't come to Memphis and not see Graceland, but once you do, it's unlikely you'll want to go back. It's also probably not worth any of the VIP+ packages, as they don't really get you much - supposedly you bypass the lines, but it's minimal at best.",October 2019,Graceland,"You have to see it, but...",307jons,30
My first time to visit and my friend and I took the self-guided tour.   The grounds were beautiful.  I enjoyed the museums and shops as well as snacking ice cream/ soda shop.  His costumes for his various performances were wonderful too.  ,July 2019,Graceland,Elvis was a special Man.,BobbiLB,50
